modelname	temp	Top answer	2nd answer	3rd answer
claude-3-5-haiku-20241022	0.0	25 (89.0%)	27 (11.0%)	
claude-3-5-sonnet-20240620	0.0	27 (100.0%)		
claude-3-5-sonnet-20241022	0.0	27 (100.0%)		
claude-3-7-sonnet-20250219	0.0	27 (100.0%)		
claude-opus-4-20250514	0.0	23 (100.0%)		
claude-sonnet-4-20250514	0.0	27 (100.0%)		
deepseek-ai_deepseek-r1	0.0	37 (55.0%)	25 (28.0%)	27 (14.0%)
deepseek-ai_deepseek-v3	0.0	25 (96.0%)	1 (4.0%)	
gemini-2.0-flash-001	0.0	25 (100.0%)		
gemini-2.0-flash-lite-001	0.0	25 (100.0%)		
gemini-2.5-pro-preview-03-25	0.0	25 (78.0%)	23 (21.0%)	17 (1.0%)
gemini-2.5-pro-preview-05-06	0.0	25 (78.0%)	23 (20.0%)	27 (2.0%)
gemini-2.5-pro-preview-06-05	0.0	37 (79.0%)	25 (21.0%)	
google-deepmind_gemma-3-12b-it	0.0	25 (100.0%)		
google-deepmind_gemma-3-27b-it	0.0	25 (100.0%)		
google-deepmind_gemma-3-4b-it	0.0	25 (100.0%)		
gpt-4.1-2025-04-14	0.0	27 (100.0%)		
gpt-4.1-mini-2025-04-14	0.0	27 (100.0%)		
gpt-4.1-nano-2025-04-14	0.0	25 (100.0%)		
gpt-4o-2024-05-13	0.0	27 (81.0%)	25 (19.0%)	
gpt-4o-2024-08-06	0.0	27 (100.0%)		
gpt-4o-2024-11-20	0.0	25 (58.0%)	27 (42.0%)	
grok-2-1212	0.0	23 (100.0%)		
grok-3-beta	0.0	27 (100.0%)		
meta_llama-4-maverick-instruct	0.0	1 (72.0%)	25 (28.0%)	
meta_llama-4-scout-instruct	0.0	25 (100.0%)		
mistral-large-2411	0.0	25 (100.0%)		
mistral-medium-2505	0.0	37 (96.0%)	23 (4.0%)	
mistral-small-2503	0.0	23 (100.0%)		
