modelname	temp	Top answer	2nd answer	3rd answer
claude-3-5-haiku-20241022	0.2	25 (91.0%)	27 (9.0%)	
claude-3-5-sonnet-20240620	0.2	27 (100.0%)		
claude-3-5-sonnet-20241022	0.2	27 (100.0%)		
claude-3-7-sonnet-20250219	0.2	27 (99.0%)	25 (1.0%)	
claude-opus-4-20250514	0.2	23 (100.0%)		
claude-sonnet-4-20250514	0.2	27 (100.0%)		
deepseek-ai_deepseek-r1	0.2	37 (44.0%)	25 (37.0%)	42 (9.0%)
deepseek-ai_deepseek-v3	0.2	25 (69.0%)	23 (12.0%)	1 (10.0%)
gemini-2.0-flash-001	0.2	25 (100.0%)		
gemini-2.0-flash-lite-001	0.2	25 (100.0%)		
gemini-2.5-pro-preview-03-25	0.2	23 (35.0%)	27 (35.0%)	25 (23.0%)
gemini-2.5-pro-preview-05-06	0.2	27 (38.0%)	23 (37.0%)	25 (19.0%)
gemini-2.5-pro-preview-06-05	0.2	37 (63.0%)	27 (18.0%)	25 (15.0%)
google-deepmind_gemma-3-12b-it	0.2	25 (100.0%)		
google-deepmind_gemma-3-27b-it	0.2	25 (100.0%)		
google-deepmind_gemma-3-4b-it	0.2	25 (100.0%)		
gpt-4.1-2025-04-14	0.2	27 (100.0%)		
gpt-4.1-mini-2025-04-14	0.2	27 (100.0%)		
gpt-4.1-nano-2025-04-14	0.2	25 (100.0%)		
gpt-4o-2024-05-13	0.2	27 (84.0%)	25 (16.0%)	
gpt-4o-2024-08-06	0.2	27 (99.0%)	37 (1.0%)	
gpt-4o-2024-11-20	0.2	25 (50.0%)	27 (50.0%)	
grok-2-1212	0.2	23 (100.0%)		
grok-3-beta	0.2	27 (100.0%)		
meta_llama-4-maverick-instruct	0.2	1 (91.0%)	25 (9.0%)	
meta_llama-4-scout-instruct	0.2	25 (100.0%)		
mistral-large-2411	0.2	25 (99.0%)	27 (1.0%)	
mistral-medium-2505	0.2	37 (87.0%)	23 (13.0%)	
mistral-small-2503	0.2	23 (98.0%)	25 (2.0%)	
